branch_name,branch_metered_bus,branch_other_bus,branch_id,branch_basekv,rateA,rateB,rateC,pwr_metered,pwr_other,q_metered,q_other,amp_angle_metered,amp_angle_other,amp_metered,amp_other,ploss,qloss,stat,violate
667000:667001:1,667000,667001,1,230.0000000,1457.934937,1584.952026,1457.934937,-207.2621307,208.0878296,-27.00679970,33.04057312,-155.3929749,23.25959587,525.4373779,523.6527100,0.82568771,11.02227592,1,
667000:667001:2,667000,667001,2,230.0000000,1457.934937,1584.952026,1457.934937,-207.2621307,208.0878296,-27.00679970,33.04057312,-155.3929749,23.25959587,525.4373779,523.6527100,0.82568771,11.02227592,1,
667000:667001:3,667000,667001,3,230.0000000,1457.934937,1584.952026,1457.934937,-206.5265961,207.3507385,-26.90188026,32.87810898,-155.3954468,23.24735069,523.5697632,521.7801514,0.82415032,10.98288631,1,
667000:667001:4,667000,667001,4,230.0000000,1457.934937,1584.952026,1457.934937,-206.5230408,207.3428802,-26.98371124,32.96058655,-155.3730011,23.26991653,523.5875244,521.7930298,0.81986076,10.98353195,1,
667000:667012:1,667000,667012,1,230.0000000,1976.044067,2145.985840,1976.044067,-301.3955688,304.5589294,34.98611450,-8.90847111,-169.4382324,8.41454029,762.7609253,764.8359985,3.16332793,37.52393723,1,
667000:667669:Z1,667000,667669,Z1,230.0000000,5020.437500,5020.437500,5020.437500,1128.969482,-1128.969482,72.91305542,-72.91305542,20.87836456,-159.1217041,2844.010254,2844.010254,0.00000000,0.00000000,1,
667001:667002:5,667001,667002,5,230.0000000,855.9845581,951.1218262,1183.066040,1.06035328,-1.06031203,5.23125744,-5.51134968,92.77903748,-86.65214539,13.26597786,13.94995499,0.00004114,0.00041436,1,
667001:667003:4,667001,667003,4,230.0000000,855.9845581,951.1218262,1183.066040,-258.5933228,258.6969604,-93.09770966,93.86045074,-145.9629974,33.98201752,683.0803833,682.8432007,0.10363320,1.04373443,1,
667001:667004:3,667001,667004,3,230.0000000,855.9845581,951.1218262,1183.066040,-258.5932617,258.6968994,-93.12819672,93.89102173,-145.9570160,33.98799896,683.1058350,682.8686523,0.10364094,1.04381227,1,
667001:667005:2,667001,667005,2,230.0000000,855.9845581,951.1218262,1183.066040,-258.5860596,258.6970520,-93.05996704,93.83200073,-145.9698792,33.97552490,683.0316162,682.7961426,0.11102000,1.05098939,1,
