branch_name,branch_metered_bus,branch_other_bus,branch_id,branch_basekv,rateA,rateB,rateC,pwr_metered,pwr_other,q_metered,q_other,amp_angle_metered,amp_angle_other,amp_metered,amp_other,ploss,qloss,stat,violate
667000:667001:1,667000,667001,1,230.0000000,1457.934937,1584.952026,1457.934937,-207.2621307,208.0878296,-27.00673294,33.04050827,-155.3930054,23.25956917,525.4373779,523.6527100,0.82568753,11.02227306,1,
667000:667001:2,667000,667001,2,230.0000000,1457.934937,1584.952026,1457.934937,-207.2621307,208.0878296,-27.00673294,33.04050827,-155.3930054,23.25956917,525.4373779,523.6527100,0.82568753,11.02227306,1,
667000:667001:3,667000,667001,3,230.0000000,1457.934937,1584.952026,1457.934937,-206.5265656,207.3507385,-26.90181351,32.87804413,-155.3954773,23.24732590,523.5696411,521.7801514,0.82415015,10.98288441,1,
667000:667001:4,667000,667001,4,230.0000000,1457.934937,1584.952026,1457.934937,-206.5230408,207.3428802,-26.98364639,32.96052170,-155.3730316,23.26989174,523.5875244,521.7930298,0.81986070,10.98353004,1,
667000:667012:1,667000,667012,1,230.0000000,1976.044067,2145.985840,1976.044067,-301.3955688,304.5589294,34.98615646,-8.90851212,-169.4382477,8.41452408,762.7608643,764.8360596,3.16332841,37.52394104,1,
667000:667669:Z1,667000,667669,Z1,230.0000000,5020.437500,5020.437500,5020.437500,1128.969482,-1128.969482,72.91285706,-72.91285706,20.87834740,-159.1217194,2844.010010,2844.010010,0.00000000,0.00000000,1,
667001:667002:5,667001,667002,5,230.0000000,855.9845581,951.1218262,1183.066040,1.06035328,-1.06031203,5.23125744,-5.51134968,92.77902985,-86.65215302,13.26597786,13.94995499,0.00004114,0.00041436,1,
667001:667003:4,667001,667003,4,230.0000000,855.9845581,951.1218262,1183.066040,-258.5933533,258.6969604,-93.09780884,93.86055756,-145.9629822,33.98202515,683.0805054,682.8432617,0.10363323,1.04373479,1,
667001:667004:3,667001,667004,3,230.0000000,855.9845581,951.1218262,1183.066040,-258.5932617,258.6968994,-93.12829590,93.89112854,-145.9570007,33.98801804,683.1060181,682.8686523,0.10364097,1.04381275,1,
667001:667005:2,667001,667005,2,230.0000000,855.9845581,951.1218262,1183.066040,-258.5860596,258.6970825,-93.06007385,93.83210754,-145.9698639,33.97553253,683.0316772,682.7962646,0.11102004,1.05098975,1,
667001:667006:1,667001,667006,1,230.0000000,855.9845581,951.1218262,1183.066040,-258.5938721,258.6974487,-92.84078217,93.60287476,-146.0134430,33.93152237,682.8655396,682.6290283,0.10356814,1.04307902,1,
667012:667001:1,667012,667001,1,230.0000000,1393.924438,1393.924438,1393.924438,308.3065491,-305.9695129,-65.30159760,83.71321106,-1.86894763,178.9357910,791.0858765,788.3942261,2.33703089,22.98410416,1,
667012:667001:2,667012,667001,2,230.0000000,1393.924438,1393.924438,1393.924438,308.2662659,-305.9195251,-65.43081665,83.83941650,-1.89344931,178.9114227,791.0541382,788.3572388,2.34672952,22.98210716,1,
667012:667001:3,667012,667001,3,230.0000000,1152.943481,1216.953979,1183.066040,308.3065491,-305.9695129,-65.30159760,83.71321106,-1.86894763,178.9357910,791.0858765,788.3942261,2.33703089,22.98410416,1,
L5-1,667007,667108,5,230.0000000,790.7188721,878.0744629,874.0581055,-0.60012478,0.60012800,-3.26431179,3.20434618,-90.32717133,89.48222351,8.33155823,8.18347359,0.00000325,0.00003355,1,
L4-1,667008,667107,4,230.0000000,790.7188721,878.0744629,874.0581055,197.1791534,-197.1674805,6.44077587,-6.38393307,11.92372894,-168.0600739,495.1769104,495.1814880,0.01167410,0.11284965,1,
L3-1,667009,667106,3,230.0000000,790.7188721,878.0744629,874.0581055,197.1684265,-197.1606445,6.44107008,-6.39846420,11.93626690,-168.0513153,495.1730957,495.1766052,0.00778260,0.08560857,1,
L2-1 _1,667010,667105,2,230.0000000,790.7188721,878.0744629,874.0581055,197.1683960,-197.1606140,6.65434742,-6.62597513,12.00608635,-167.9852753,495.1928711,495.1953735,0.00778320,0.05837402,1,
L1-1 _1,667011,667104,1,230.0000000,790.7188721,878.0744629,874.0581055,197.1683807,-197.1644897,6.76105404,-6.74403000,12.03932095,-167.9555206,495.2024536,495.2039795,0.00389174,0.03502570,1,
L43R,667012,667013,3,230.0000000,1132.108643,1240.047974,1132.108643,-143.8507690,144.3542938,76.23287964,-74.84042358,162.1689301,-18.94538116,408.6683960,412.8566895,0.50352544,4.96561813,1,
L42R,667012,667014,2,230.0000000,1019.148743,1240.047974,1019.148743,-145.0601044,145.5723877,76.97711182,-75.49979401,162.1370850,-18.96800995,412.2255859,416.4187927,0.51229113,5.05206203,1,
L41R,667012,667015,1,230.0000000,1019.148743,1240.047974,1019.148743,-143.8655548,144.3690796,76.20894623,-74.81640625,162.1788177,-18.93559456,408.6730652,412.8599854,0.50353515,4.96571302,1,
667012:667100:S1,667012,667100,S1,230.0000000,25099.67578,25099.67578,25099.67578,-9.14064217,9.14064217,0.00395782,-0.00312230,-169.9348907,10.06517220,22.94499779,22.94499779,0.00000000,0.00083551,1,
L1-2,667012,667104,1,230.0000000,876.0662842,953.8830566,1018.897766,-197.1605988,197.1645050,-7.11047077,6.74403000,-167.8446503,12.04454613,495.2377014,495.2040405,0.00389202,0.01556807,1,
L2-2,667012,667105,2,230.0000000,1393.924438,1393.924438,1393.924438,-197.1605835,197.1605835,-6.87693882,6.62593937,-167.9124146,12.01478481,495.2168884,495.1953125,0.00000000,0.00000000,1,
L3-2,667012,667106,3,230.0000000,876.0662842,953.8830566,1018.897766,-197.1606598,197.1606598,-6.58943081,6.39843035,-167.9958649,11.94874096,495.1924133,495.1766357,0.00000000,0.00000000,1,
L4-2,667012,667107,4,230.0000000,876.0662842,953.8830566,1018.897766,-197.1635895,197.1674957,-6.75037479,6.38393307,-167.9491882,11.93998718,495.2134399,495.1815186,0.00389165,0.01556660,1,
L5-2,667012,667108,5,230.0000000,876.0662842,953.8830566,1018.897766,0.60012889,-0.60012800,2.63135338,-3.20434618,87.24239349,-90.51783752,6.77487803,8.18347359,0.00000089,0.00000621,1,
